student_id,last_name,first_name,site_name,grade,race_ethnicity,gender,iep
151680,Amin,Niall,"Summit Public School: Denali",12,Hispanic,F,FALSE
151690,Sandoval,Camron,"Summit Public School: Denali",12,,F,FALSE
151695,Ashley,Celine,"Summit Public School: Denali",12,Hispanic,F,FALSE
151700,Douglas,Vinny,"Summit Public School: Denali",12,White,M,FALSE
151710,Oconnell,Sneha,"Summit Public School: Denali",12,Hispanic,F,FALSE
151715,Delgado,Jocelyn,"Summit Public School: Denali",12,Hispanic,M,TRUE
151720,Oneil,Habib,"Summit Public School: Denali",12,White,M,FALSE
151735,Kay,Teagan,"Summit Public School: Denali",12,Asian,M,FALSE
151745,Craft,Aarron,"Summit Public School: Denali",12,White,F,FALSE
151750,Worthington,Kelsey,"Summit Public School: Denali",12,White,M,TRUE
151770,Talbot,Ines,"Summit Public School: Denali",12,"Black or African American",M,FALSE
151775,Sandoval,Aadam,"Summit Public School: Denali",12,Asian,F,FALSE
151790,Alford,Courtney,"Summit Public School: Denali",12,White,F,FALSE
151795,Stokes,Rudi,"Summit Public School: Denali",12,Asian,F,FALSE
151805,Escobar,Zion,"Summit Public School: Denali",12,Hispanic,F,FALSE
151815,Finley,Kyran,"Summit Public School: Denali",12,Asian,F,FALSE
151850,Clarke,Bob,"Summit Public School: Denali",12,Hispanic,F,FALSE
151860,Holman,Sohail,"Summit Public School: Denali",12,Hispanic,M,FALSE
151880,Kidd,Aayan,"Summit Public School: Rainier",10,,M,FALSE
151885,Romero,Macauly,"Summit Public School: Denali",12,White,M,FALSE
151905,Orr,Sumayya,"Summit Public School: Denali",12,"Two or More Races",F,FALSE
151915,Melendez,Kallum,"Summit Public School: Denali",12,Hispanic,M,FALSE
151945,Shields,Ava-Mai,"Summit Public School: Denali",12,White,F,FALSE
151985,Brookes,Elaine,"Summit Public School: Denali",12,,F,FALSE
151990,Brennan,Curtis,"Summit Public School: Denali",12,Hispanic,M,FALSE
152010,Burch,Abi,"Summit Public School: Denali",12,Hispanic,M,TRUE
152020,Green,Mohammed,"Summit Public School: Denali",12,Hispanic,M,FALSE
152030,Mclean,Aqeel,"Summit Public School: Denali",12,"Two or More Races",M,FALSE
152060,Osborn,Kairo,"Summit Public School: Denali",12,"Black or African American",F,FALSE
152075,Savage,Haniya,"Summit Public School: Denali",12,Asian,M,FALSE
152100,Coles,Alyx,"Summit Public School: Denali",12,White,M,TRUE
152105,Perkins,Woody,"Summit Public School: Denali",12,Hispanic,F,FALSE
152110,Rogers,Lacey-Mae,"Summit Public School: Denali",12,,F,FALSE
152165,Mckinney,Korban,"Summit Public School: Denali",12,Asian,M,FALSE
152170,Guerrero,Sohaib,"Summit Public School: Denali",12,White,M,FALSE
152175,Talbot,Aditi,"Summit Public School: Denali",12,Hispanic,F,FALSE
152185,Mccarthy,Amarah,"Summit Public School: Denali",12,Asian,M,FALSE
152240,Hamer,Lubna,"Summit Public School: Denali",12,Hispanic,M,FALSE
152250,Pineda,Jaya,"Summit Public School: Denali",12,Hispanic,F,FALSE
152260,Atherton,Elen,"Summit Public School: Denali",12,Asian,F,FALSE
152305,Markham,Sharna,"Summit Public School: Denali",12,Asian,F,FALSE
152315,Chandler,Sheridan,"Summit Public School: Denali",12,Hispanic,F,FALSE
152320,Jones,Falak,"Summit Public School: Denali",12,"Black or African American",M,TRUE
152325,Fritz,Yasser,"Summit Public School: Denali",12,Asian,F,FALSE
152330,Pike,Sara,"Summit Public School: Denali",12,"Two or More Races",F,FALSE
152340,James,Zahid,"Summit Public School: Denali",12,Hispanic,F,FALSE
152345,Murray,Leen,"Summit Public School: Denali",12,Asian,M,FALSE
152350,Romero,Lindsay,"Summit Public School: Denali",12,White,M,FALSE
152365,Dunn,Jan,"Summit Public School: Rainier",12,Hispanic,F,FALSE
152370,Finney,Amal,"Summit Public School: Denali",12,,F,FALSE
153235,Stone,Usmaan,"Summit Public School: Rainier",12,Asian,M,FALSE
153385,Dillon,Jace,"Summit Public School: Denali",12,"Two or More Races",M,FALSE
164085,Begum,Jodi,"Summit Public School: Denali",11,Asian,M,FALSE
164090,Bender,Jolie,"Summit Public School: Denali",11,Hispanic,F,FALSE
164100,Redfern,Jack,"Summit Public School: Denali",11,Hispanic,M,FALSE
164120,Francis,Otto,"Summit Public School: Denali",11,Hispanic,M,FALSE
164125,Muir,Kali,"Summit Public School: Denali",11,Hispanic,F,FALSE
164130,Butt,Malaki,"Summit Public School: Denali",11,,M,FALSE
164175,Maldonado,Priscilla,"Summit Public School: Denali",11,Hispanic,F,FALSE
164180,Terry,Shayna,"Summit Public School: Denali",11,White,M,FALSE
164200,Beattie,Roberta,"Summit Public School: Denali",11,Asian,M,FALSE
164205,England,Marcia,"Summit Public School: Denali",11,Hispanic,M,FALSE
164210,Sanders,Eamonn,"Summit Public School: Rainier",11,"Two or More Races",F,FALSE
164220,Pineda,Eddie,"Summit Public School: Denali",11,White,,FALSE
164225,Plant,Cairo,"Summit Public School: Denali",11,White,M,FALSE
164230,Miles,Alex,"Summit Public School: Denali",11,"Black or African American",M,FALSE
164365,Becker,Shakeel,"Summit Public School: Rainier",10,Asian,F,FALSE
164380,Britt,Keiran,"Summit Public School: Denali",11,Hispanic,M,FALSE
164400,Maddox,Florence,"Summit Public School: Denali",11,"Two or More Races",M,FALSE
164415,Redmond,Tymoteusz,"Summit Public School: Denali",11,Hispanic,M,FALSE
164430,Odonnell,Owais,"Summit Public School: Denali",11,Hispanic,F,FALSE
164455,Philip,Shelly,"Summit Public School: Denali",11,Hispanic,M,FALSE
164465,Lutz,Ava-May,"Summit Public School: Denali",11,Hispanic,F,FALSE
164490,Clemons,Tariq,"Summit Public School: Denali",11,White,M,FALSE
164500,Acosta,Ayah,"Summit Public School: Denali",11,Asian,M,FALSE
164505,Matthams,Robin,"Summit Public School: Denali",11,Hispanic,M,FALSE
164510,Roberts,Etienne,"Summit Public School: Denali",11,"Two or More Races",M,TRUE
164515,Becker,Nayla,"Summit Public School: Denali",11,Hispanic,M,FALSE
164525,Villanueva,Jarrad,"Summit Public School: Denali",11,"Two or More Races",F,FALSE
164530,Melia,Murtaza,"Summit Public School: Denali",11,Hispanic,M,FALSE
164550,Combs,Gurdeep,"Summit Public School: Denali",11,Hispanic,F,FALSE
164565,Farmer,Parris,"Summit Public School: Denali",11,"Two or More Races",F,FALSE
164570,Andrade,Luis,"Summit Public School: Denali",11,White,F,FALSE
164575,Greenwood,Aras,"Summit Public School: Denali",11,Hispanic,M,TRUE
164580,Bush,Roland,"Summit Public School: Denali",11,Hispanic,F,FALSE
164635,Irving,Saim,"Summit Public School: Denali",11,Asian,M,FALSE
165935,Peel,Bethan,"Summit Public School: K2",12,Asian,M,FALSE
165940,Markham,Amos,"Summit Public School: K2",12,Asian,M,FALSE
165950,Barry,Precious,"Summit Public School: K2",12,White,F,FALSE
165955,Garcia,Allegra,"Summit Public School: K2",12,Hispanic,F,FALSE
165960,Fraser,Isaac,"Summit Public School: K2",12,White,M,FALSE
165965,Brown,Rodrigo,"Summit Public School: K2",12,White,F,FALSE
165970,Faulkner,Remi,"Summit Public School: K2",12,Hispanic,F,FALSE
165985,Booker,Hakim,"Summit Public School: K2",11,Asian,M,FALSE
165990,Knapp,Louise,"Summit Public School: K2",12,White,F,
166005,Ferguson,Anaiya,"Summit Public School: K2",12,"Two or More Races",F,FALSE
166025,Espinoza,Muhammad,"Summit Public School: K2",12,Asian,F,FALSE
166030,Markham,Shyla,"Summit Public School: K2",12,Hispanic,M,FALSE
166035,Beattie,Cinar,"Summit Public School: K2",12,White,F,FALSE
166055,Blankenship,Caitlin,"Summit Public School: K2",12,"Two or More Races",M,FALSE
166065,Emerson,Lorena,"Summit Public School: K2",12,Asian,F,FALSE
166080,Sharp,Frankie,"Summit Public School: K2",12,Asian,M,FALSE
166085,Mcintosh,Vicky,"Summit Public School: K2",12,"Two or More Races",M,FALSE
166105,Head,Hari,"Summit Public School: K2",12,Asian,F,FALSE
166115,Snow,Shayne,"Summit Public School: K2",12,Hispanic,M,FALSE
166130,Talbot,Abby,"Summit Public School: K2",12,Hispanic,M,FALSE
166145,Goodman,Kiah,"Summit Public School: K2",12,Hispanic,F,TRUE
166150,Copeland,Sue,"Summit Public School: K2",12,Hispanic,M,FALSE
166155,Webster,Milo,"Summit Public School: K2",12,White,M,FALSE
166175,Fuentes,Asim,"Summit Public School: K2",12,Hispanic,M,FALSE
166180,Butler,Isadora,"Summit Public School: K2",12,Asian,M,FALSE
166185,Roman,Frankie,"Summit Public School: K2",12,"Two or More Races",F,FALSE
166190,Graves,Pearl,"Summit Public School: K2",12,Hispanic,M,FALSE
166195,Mack,Zi,"Summit Public School: K2",11,Hispanic,M,FALSE
